College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Bethel University,Bethel University,33320,33320
Bethel University,Bethel University,33320,33320
Bethel University,Bethel University,33320,33320
Bethesda University,Bethesda University,7220,7220
Bethlehem College & Seminary,Bethlehem College & Seminary,7144,7144
Bethune-Cookman University,Bethune-Cookman University,14794,14794
Beulah Heights University,Beulah Heights University,8492,8492
Big Bend Community College,Big Bend Community College,4909,5443
Binghamton University,Binghamton University,10363,29453
Biola University,Biola University,46704,46704
Birmingham-Southern College,Birmingham-Southern College,22750,22750
Bismarck State College,Bismarck State College,5195,7279
Black Hills State University,Black Hills State University,9000,12100
Blackburn College,Blackburn College,26758,26758
Blackfeet Community College,Blackfeet Community College,3610,3610
Blue Mountain Christian University,Blue Mountain Christian University,19280,19280
Bluefield State University,Bluefield State University,10240,17560
Bluefield University,Bluefield University,29696,29696
Bluffton University,Bluffton University,36298,36298
Bob Jones University,Bob Jones University,23400,23400
Boise Bible College,Boise Bible College,11240,11240
Boise State University,Boise State University,8782,26976
Boricua College,Boricua College,12525,12525
Boston Baptist College,Boston Baptist College,14304,14304
Boston College,Boston College,67680,67680
Boston University,Boston University,65168,65168
Bowdoin College,Bowdoin College,64910,64910
Bowie State University,Bowie State University,8999,19889
Bowling Green State University-Firelands,Bowling Green State University-Firelands,6206,13895
Bowling Green State University-Main Campus,Bowling Green State University-Main Campus,14081,22070
Bradley University,Bradley University,39680,39680
Brandeis University,Brandeis University,64946,64946
Brazosport College,Brazosport College,2388,4711
Brenau University,Brenau University,33275,33275
Brescia University,Brescia University,30450,30450
Brevard College,Brevard College,31250,31250
Brewton-Parker College,Brewton-Parker College,21696,21696
Briar Cliff University,Briar Cliff University,35534,35534
Bridges Christian College,Bridges Christian College,6600,6600
Bridgewater College,Bridgewater College,41350,41350
Bridgewater State University,Bridgewater State University,11389,17529
Brigham Young University,Brigham Young University,6496,6496
Brigham Young University-Hawaii,Brigham Young University-Hawaii,6438,6438
Brigham Young University-Idaho,Brigham Young University-Idaho,4656,4656
Brookline College-Phoenix,Brookline College-Phoenix,,
Broward College,Broward College,2830,8952
Brown University,Brown University,68230,68230
Bryan College of Health Sciences,Bryan College of Health Sciences,20070,20070
Bryan College-Dayton,Bryan College-Dayton,18900,18900
Bryan University,Bryan University,12185,12185
Bryan University,Bryan University,12185,12185
Bryant & Stratton College-Albany,Bryant & Stratton College-Albany,18892,18892
Bryant & Stratton College-Buffalo,Bryant & Stratton College-Buffalo,19126,19126
Bryant & Stratton College-Greece,Bryant & Stratton College-Greece,19593,19593
Bryant & Stratton College-Online,Bryant & Stratton College-Online,15891,15891
Bryant & Stratton College-Parma,Bryant & Stratton College-Parma,19542,19542
Bryant & Stratton College-Syracuse North,Bryant & Stratton College-Syracuse North,19310,19310
Bryant & Stratton College-Virginia Beach,Bryant & Stratton College-Virginia Beach,18457,18457
Bryant & Stratton College-Wauwatosa,Bryant & Stratton College-Wauwatosa,19944,19944
Bryant University,Bryant University,51169,51169
Bryn Athyn College of the New Church,Bryn Athyn College of the New Church,27804,27804
Bryn Mawr College,Bryn Mawr College,62560,62560
Bucknell University,Bucknell University,64772,64772
Buena Vista University,Buena Vista University,40190,40190
Bushnell University,Bushnell University,34740,34740
Butler University,Butler University,45980,45980
CUNY Bernard M Baruch College,CUNY Bernard M Baruch College,7464,15414
CUNY Brooklyn College,CUNY Brooklyn College,7452,15402
CUNY City College,CUNY City College,7340,15290
CUNY Graduate School and University Center,CUNY Graduate School and University Center,7410,15360
CUNY Hunter College,CUNY Hunter College,7382,15332
CUNY John Jay College of Criminal Justice,CUNY John Jay College of Criminal Justice,7470,15420
CUNY Lehman College,CUNY Lehman College,7410,15360
CUNY Medgar Evers College,CUNY Medgar Evers College,7352,15302
CUNY New York City College of Technology,CUNY New York City College of Technology,7332,15282
CUNY Queens College,CUNY Queens College,7538,15488
CUNY York College,CUNY York College,7358,15308
Cabrini University,Cabrini University,35815,35815
Cairn University-Langhorne,Cairn University-Langhorne,32625,32625
Caldwell University,Caldwell University,39450,39450
California Baptist University,California Baptist University,39720,39720
California College of ASU,California College of ASU,26175,26175
California College of the Arts,California College of the Arts,57946,57946
California Institute of Arts & Technology,California Institute of Arts & Technology,15390,15390
California Institute of Arts & Technology-National City,California Institute of Arts & Technology-National City,15390,15390
California Institute of Technology,California Institute of Technology,63255,63255
California Institute of the Arts,California Institute of the Arts,56724,56724
California Intercontinental University,California Intercontinental University,9054,9054
California Jazz Conservatory,California Jazz Conservatory,23700,23700
California Lutheran University,California Lutheran University,50670,50670
California Miramar University,California Miramar University,9994,9994
California Polytechnic State University-San Luis Obispo,California Polytechnic State University-San Luis Obispo,11075,30995
California State Polytechnic University-Humboldt,California State Polytechnic University-Humboldt,7913,19793
California State Polytechnic University-Pomona,California State Polytechnic University-Pomona,7439,19319
California State University Maritime Academy,California State University Maritime Academy,7672,19552
California State University-Bakersfield,California State University-Bakersfield,7696,19576
California State University-Chancellors Office,California State University-Bakersfield,7696,19576
California State University-Channel Islands,California State University-Channel Islands,6817,18697
California State University-Chico,California State University-Chico,8064,19944
California State University-Dominguez Hills,California State University-Dominguez Hills,7064,18944
California State University-East Bay,California State University-East Bay,7055,18935
California State University-Fresno,California State University-Fresno,6980,18860
California State University-Fullerton,California State University-Fullerton,7073,18953
California State University-Long Beach,California State University-Long Beach,7008,18888
California State University-Los Angeles,California State University-Los Angeles,6813,18698
California State University-Monterey Bay,California State University-Monterey Bay,7437,19317
California State University-Northridge,California State University-Northridge,7095,18975
California State University-Sacramento,California State University-Sacramento,7602,19482
California State University-San Bernardino,California State University-San Bernardino,7675,19555
California State University-San Marcos,California State University-San Marcos,7739,19619
California State University-Stanislaus,California State University-Stanislaus,7826,19706
Calumet College of Saint Joseph,Calumet College of Saint Joseph,22650,22650
Calvary University,Calvary University,13692,13692
Calvin University,Calvin University,38670,38670
Cambridge College,Cambridge College,18072,18072
Cameron University,Cameron University,6900,16320
Campbell University,Campbell University,40410,40410
Campbellsville University,Campbellsville University,26990,26990
Canisius University,Canisius University,32720,32720
Capella University,Capella University,14436,14436
Capital University,Capital University,41788,41788
Capitol Technology University,Capitol Technology University,27318,27318
Caribbean University-Bayamon,Caribbean University-Bayamon,5966,5966
Caribbean University-Carolina,Caribbean University-Carolina,5966,5966
Caribbean University-Ponce,Caribbean University-Ponce,5966,5966
Caribbean University-Vega Baja,Caribbean University-Vega Baja,5966,5966
Carleton College,Carleton College,65457,65457
Carlow University,Carlow University,34502,34502
Carnegie Mellon University,Carnegie Mellon University,63829,63829
Carolina Christian College,Carolina Christian College,9420,9420
Carolina College of Biblical Studies,Carolina College of Biblical Studies,6276,6276
Carolina University,Carolina University,16000,16000
Carroll College,Carroll College,40352,40352
Carroll University,Carroll University,37230,37230
Carson-Newman University,Carson-Newman University,34700,34700
Carthage College,Carthage College,36500,36500
Cascadia College,Cascadia College,4914,10864
Case Western Reserve University,Case Western Reserve University,64671,64671
Catawba College,Catawba College,33400,33400
Catholic International University,Faith International University,8850,8850
Cedar Crest College,Cedar Crest College,44934,44934
Cedarville University,Cedarville University,36078,36078
Centenary College of Louisiana,Centenary College of Louisiana,40000,40000
Centenary University,Centenary University,37732,37732
Central Baptist College,Central Baptist College,19680,19680
Central Christian College of Kansas,Central Christian College of Kansas,21000,21000
Central Christian College of the Bible,Central Christian College of the Bible,11200,11200
Central College,Central College,20988,20988
Central Connecticut State University,Central Connecticut State University,12460,25736
Central Methodist University-College of Graduate and Extended Studies,Central Methodist University-College of Graduate and Extended Studies,6960,6960
Central Methodist University-College of Liberal Arts and Sciences,Central Methodist University-College of Liberal Arts and Sciences,27140,27140
Central Michigan University,Central Michigan University,14190,14190
Central Ohio Technical College,Central Ohio Technical College,5136,7896
Central Penn College,Central Penn College,19404,19404
Central State University,Central State University,7824,9824
Central Washington University,Central Washington University,9192,26771
Central Wyoming College,Central Wyoming College,4680,10980
Central Yeshiva Beth Joseph,Central Yeshiva Beth Joseph,,
Central Yeshiva Tomchei Tmimim Lubavitz,Central Yeshiva Tomchei Tmimim Lubavitz,8400,8400
Centralia College,Centralia College,5109,5643
Centre College,Centre College,50550,50550
Centura College-Chesapeake,Centura College-Chesapeake,16637,16637
Chadron State College,Chadron State College,8078,8078
Chaminade University of Honolulu,Chaminade University of Honolulu,29970,29970
Champion Christian College,Champion Christian College,10870,10870
Champlain College,Champlain College,45550,45550
Chapman University,Chapman University,62784,62784
Charles R Drew University of Medicine and Science,Charles R Drew University of Medicine and Science,18933,18933
Charleston Southern University,Charleston Southern University,31030,31030
Charlotte Christian College and Theological Seminary,Charlotte Christian College and Theological Seminary,11960,11960
Charter College,Charter College,18678,18678
Charter Oak State College,Charter Oak State College,8506,8506
Chatham University,Chatham University,43810,43810
Chemeketa Community College,Chemeketa Community College,6210,13905
Chestnut Hill College,Chestnut Hill College,39410,39410
Cheyney University of Pennsylvania,Cheyney University of Pennsylvania,10904,18870
Chicago State University,Chicago State University,12754,12754
Chipola College,Chipola College,3120,8950
Chowan University,Chowan University,27110,27110
Christ Mission College,Christ Mission College,8229,8229
Christian Brothers University,Christian Brothers University,37300,37300
Christopher Newport University,Christopher Newport University,16351,30988
Cincinnati State Technical and Community College,Cincinnati State Technical and Community College,5400,9801
Citadel Military College of South Carolina,Citadel Military College of South Carolina,12570,37370
City College-Hollywood,City College-Hollywood,18615,18615
City College-Hollywood,City College-Hollywood,18615,18615
City University of Seattle,City University of Seattle,14589,14589
City Vision University,City Vision University,6400,6400
Claflin University,Claflin University,17046,17046
Claremont McKenna College,Claremont McKenna College,64150,64150
Clark Atlanta University,Clark Atlanta University,26446,26446
Clark College,Clark College,4632,10380
Clark State College,Clark State College,4200,7809
Clark University,Clark University,55160,55160
Clarke University,Clarke University,39600,39600
Clarks Summit University,Clarks Summit University,32400,32400
Clarkson College,Clarkson College,15168,15168
Clarkson University,Clarkson University,57950,57950
Clayton State University,Clayton  State University,5068,15790
Clear Creek Baptist Bible College,Clear Creek Baptist Bible College,10120,10120
Cleary University,Cleary University,24842,24842
Clemson University,Clemson University,15554,39498
Cleveland Institute of Art,Cleveland Institute of Art,47880,47880
Cleveland Institute of Music,Cleveland Institute of Music,42500,42500
Cleveland State University,Cleveland State University,12613,17973
Cleveland University-Kansas City,Cleveland University-Kansas City,14400,14400
Clinton College,Clinton College,10516,10516
Clover Park Technical College,Clover Park Technical College,6634,6634
Coastal Carolina University,Coastal Carolina University,11640,29628
Cochise County Community College District,Cochise County Community College District,2232,6000
Coe College,Coe College,52576,52576
Coker University,Coker University,31854,31854
Colby College,Colby College,66600,66600
Colby-Sawyer College,Colby-Sawyer College,18400,18400
Colegio Universitario de San Juan,Colegio Universitario de San Juan,2340,2340
Colgate University,Colgate University,67024,67024
College for Creative Studies,College for Creative Studies,51355,51355
