name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Avalon Institute-Mesa,Mesa,AZ,9748.0,17062.0,16847.0,Moderately Selective,0.5,,,388,1000064,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Eastern Arizona College,Thatcher,AZ,2352.0,9552.0,9765.0,Moderately Selective,0.5,,,3058,1000065,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Glendale Community College,Glendale,AZ,2358.0,8958.0,12158.0,Moderately Selective,0.5,,,10180,1000066,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Grand Canyon University,Phoenix,AZ,17450.0,17450.0,21931.0,Less Selective,0.6036,,,68619,1000067,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
GateWay Community College,Phoenix,AZ,2358.0,8958.0,12871.0,Moderately Selective,0.5,,,3473,1000068,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mesa Community College,Mesa,AZ,2358.0,8958.0,13438.0,Moderately Selective,0.5,,,12049,1000069,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Mohave Community College,Kingman,AZ,2136.0,7248.0,6806.0,Moderately Selective,0.5,,,2750,1000070,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,9748.0,17062.0,21925.0,Moderately Selective,0.5,,,567,1000071,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Dine College,Tsaile,AZ,1410.0,1410.0,10218.0,Moderately Selective,0.5,,,1507,1000072,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Northern Arizona University,Flagstaff,AZ,12652.0,28900.0,14922.0,Less Selective,0.9095,,,23041,1000073,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
