unitid,applications,admitted,enrolled,acceptance_rate,sat_verbal_25,sat_verbal_75,sat_math_25,sat_math_75,sat_total_25,sat_total_75,act_composite_25,act_composite_75,act_english_25,act_english_75,act_math_25,act_math_75,selectivity_tier,test_policy,financial_aid_policy,gpa_average
115755,14019,13855.0,955.0,0.988301590698338,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1587620694218774
117104,281,264.0,74.0,0.9395017793594306,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5362184777037964
117140,10813,5242.0,743.0,0.48478683066678996,510.0,650.0,460.0,653.0,970.0,1303.0,18.0,25.0,13.0,25.0,18.0,26.0,Selective,Required,Need-blind,3.637799966181448
117168,268,208.0,135.0,0.7761194029850746,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.4998857369989747
117627,2238,2088.0,258.0,0.9329758713136729,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.482544242326451
117751,1157,878.0,413.0,0.7588591184096802,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.079992604922137
117946,23361,9413.0,1535.0,0.4029365181285048,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.5710584403757424
118198,1417,1161.0,215.0,0.8193366266760762,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.4084979463527536
118693,3041,2062.0,178.0,0.6780664255179217,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.3685989814755244
118888,17177,2841.0,487.0,0.16539558712231472,670.0,740.0,720.0,780.0,1390.0,1520.0,31.0,33.0,30.0,35.0,27.0,33.0,Highly Selective,Required,Need-blind,3.7745519235448115
119173,3430,2357.0,449.0,0.6871720116618075,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.3939342975807882
119270,425,303.0,141.0,0.7129411764705882,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2993163306171516
120254,6573,2622.0,532.0,0.3989046097672296,690.0,750.0,670.0,750.0,1360.0,1500.0,31.0,34.0,32.0,35.0,28.0,33.0,Selective,Required,Need-blind,3.5701708657474707
120403,2459,2065.0,236.0,0.8397722651484343,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.36035877537368
120537,828,293.0,88.0,0.3538647342995169,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.614219812722314
120661,248,233.0,152.0,0.9395161290322581,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2940842847881426
120865,1323,562.0,139.0,0.42479213907785335,490.0,605.0,440.0,585.0,930.0,1190.0,20.0,24.0,16.0,24.0,15.0,25.0,Selective,Required,Need-blind,3.6601032407163623
120883,5763,5467.0,773.0,0.9486378622245358,580.0,690.0,580.0,730.0,1160.0,1420.0,23.0,31.0,22.0,32.0,23.0,31.0,Less Selective,Required,Need-blind,3.127637436108642
121150,12457,6210.0,732.0,0.4985148912258168,630.0,710.0,620.0,740.0,1250.0,1450.0,26.0,32.0,26.0,34.0,26.0,30.0,Selective,Required,Need-blind,3.649511784137339
121257,3464,577.0,275.0,0.1665704387990762,,,,,,,,,,,,,Highly Selective,Test-optional,Need-blind,3.883525935120414
121309,3065,2506.0,657.0,0.8176182707993475,590.0,710.0,550.0,700.0,1140.0,1410.0,22.0,30.0,23.0,32.0,19.0,27.0,Less Selective,Required,Need-blind,3.0907410482874065
121345,12121,819.0,408.0,0.0675686824519429,730.0,770.0,750.0,790.0,1480.0,1560.0,33.0,35.0,35.0,36.0,30.0,35.0,Elite,Required,Need-blind,3.971620783724606
121691,3622,2931.0,484.0,0.8092214246272778,548.0,670.0,530.0,653.0,1078.0,1323.0,25.0,30.0,23.0,31.0,24.0,29.0,Less Selective,Required,Need-blind,3.0689373975928853
122409,82800,28517.0,6162.0,0.34440821256038645,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.689340924347467
122436,15953,7458.0,1245.0,0.46749827618629725,,,,,,,,,,,,,Selective,Test-optional,Need-blind,3.6427627386713075
122506,439,228.0,54.0,0.5193621867881549,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2870700342665
122597,29878,28727.0,2985.0,0.9614766717986478,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1929568898840173
122612,25709,13052.0,1124.0,0.5076821346610136,610.0,690.0,600.0,700.0,1210.0,1390.0,26.0,31.0,25.0,33.0,24.0,28.0,Less Selective,Required,Need-blind,3.019682531672219
122728,699,537.0,190.0,0.7682403433476395,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.5710242154859264
122755,35780,28708.0,4520.0,0.8023476802683063,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1583836183248772
122931,18843,8261.0,1552.0,0.43841214244016347,660.0,730.0,680.0,770.0,1340.0,1500.0,30.0,33.0,,,27.0,33.0,Selective,Required,Need-blind,3.7300274866647682
123165,3082,1046.0,275.0,0.3393900064892927,720.0,760.0,700.0,770.0,1420.0,1530.0,32.0,34.0,34.0,35.0,28.0,33.0,Selective,Required,Need-blind,3.5149735732509617
123457,823,815.0,151.0,0.9902794653705954,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2491974951781675
123554,4308,3816.0,503.0,0.8857938718662952,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.0279355527040206
123572,10529,9974.0,911.0,0.9472884414474309,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.467997694993065
123651,3422,2214.0,502.0,0.6469900642898889,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.0186989729169027
123679,418,401.0,166.0,0.9593301435406698,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.495029681455706
123952,606,501.0,35.0,0.8267326732673267,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.195704919669044
123961,80808,8094.0,3633.0,0.10016335016335016,700.0,760.0,740.0,790.0,1440.0,1550.0,32.0,35.0,34.0,35.0,30.0,35.0,Highly Selective,Required,Need-blind,3.715781961319785
124292,263,207.0,143.0,0.7870722433460076,590.0,690.0,570.0,640.0,1160.0,1330.0,25.0,33.0,25.0,33.0,26.0,31.0,Less Selective,Required,Need-blind,3.5230394069922966
124706,421,413.0,223.0,0.9809976247030879,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1561866470919515
124937,205,203.0,134.0,0.9902439024390244,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.0168993810958606
125727,2244,1792.0,320.0,0.7985739750445633,622.0,720.0,590.0,698.0,1212.0,1418.0,30.0,34.0,29.0,35.0,26.0,32.0,Less Selective,Required,Need-blind,3.535677027525232
125763,2797,2388.0,145.0,0.8537718984626386,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1679319638007986
125897,1312,956.0,107.0,0.7286585365853658,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.176742081727539
126076,107,66.0,61.0,0.616822429906542,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.0982159877999473
126359,138,82.0,27.0,0.5942028985507246,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.079418464047217
126562,14569,11336.0,1628.0,0.7780904660580685,500.0,620.0,480.0,600.0,980.0,1220.0,21.0,27.0,21.0,28.0,19.0,26.0,Less Selective,Required,Need-blind,3.175880787729741
126580,13103,12653.0,1747.0,0.9656567198351522,520.0,630.0,500.0,610.0,1020.0,1240.0,21.0,28.0,20.0,28.0,18.0,27.0,Less Selective,Required,Need-blind,3.1172583485913825
126614,56069,46692.0,7546.0,0.8327596354491786,620.0,700.0,610.0,720.0,1230.0,1420.0,28.0,33.0,27.0,34.0,25.0,31.0,Less Selective,Required,Need-blind,3.05259592375467
126678,7532,1509.0,517.0,0.20034519383961763,690.0,760.0,675.0,760.0,1365.0,1520.0,31.0,34.0,32.0,35.0,28.0,32.0,Highly Selective,Required,Need-blind,3.7617594528445752
126687,141,141.0,93.0,1.0,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2706177093639557
126775,9821,5864.0,1450.0,0.597087872925364,650.0,720.0,670.0,750.0,1320.0,1470.0,29.0,33.0,28.0,33.0,28.0,34.0,Less Selective,Required,Need-blind,3.409475678408268
126818,36612,32801.0,5293.0,0.8959084453184748,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.1781763568220445
127060,19214,13679.0,1458.0,0.7119288019152701,630.0,710.0,610.0,700.0,1240.0,1410.0,29.0,32.0,28.0,34.0,26.0,30.0,Less Selective,Required,Need-blind,3.0904476143065636
127185,4253,3964.0,815.0,0.9320479661415472,500.0,630.0,480.0,590.0,980.0,1220.0,16.0,24.0,15.0,23.0,16.0,23.0,Less Selective,Required,Need-blind,3.1806136142013486
127556,10631,8653.0,1806.0,0.8139403630890791,470.0,600.0,460.0,580.0,930.0,1180.0,19.0,26.0,18.0,25.0,17.0,25.0,Less Selective,Required,Need-blind,3.0529047199286197
127565,12403,12296.0,2132.0,0.9913730549060711,450.0,570.0,430.0,540.0,880.0,1110.0,17.0,23.0,16.0,24.0,16.0,24.0,Less Selective,Required,Need-blind,3.3340828350285268
127653,100,94.0,24.0,0.94,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.271636223940873
127741,10274,8880.0,1229.0,0.8643176951528129,490.0,600.0,480.0,580.0,970.0,1180.0,17.0,26.0,16.0,25.0,17.0,24.0,Less Selective,Required,Need-blind,3.4025328586973487
127918,4997,4361.0,501.0,0.8727236341805084,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.2138124760270808
128106,1834,1831.0,678.0,0.9983642311886587,450.0,560.0,420.0,540.0,870.0,1100.0,19.0,25.0,18.0,24.0,18.0,25.0,Less Selective,Required,Need-blind,3.0289552580490415
128328,9543,1329.0,1054.0,0.1392643822697265,620.0,710.0,630.0,740.0,1250.0,1450.0,26.0,33.0,25.0,34.0,25.0,31.0,Highly Selective,Required,Need-blind,3.8023882547793453
128391,3283,3200.0,423.0,0.9747182455071581,500.0,630.0,500.0,610.0,1000.0,1240.0,21.0,28.0,20.0,26.0,19.0,27.0,Less Selective,Required,Need-blind,3.3460139127461925
128498,2338,1505.0,176.0,0.6437125748502994,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.245503640071722
